verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
yen(II)	10059	0.002	1e-10	0.064	0.000128	9.941346058256288e-15	-8.963480294044658	-32.242073965074795	23.279
dur	9874	0.002	3085.0	0.064	0.000128	0.3124367024508811	-8.963480294044658	-1.1633533824793199	-7.8
bağla	9866	0.002	28.0	0.064	0.000128	0.0028380295965943643	-8.963480294044658	-5.86464527161848	-3.099
uygula	9182	0.002	39.0	0.064	0.000128	0.004247440644739708	-8.963480294044658	-5.461438678679521	-3.502
evlen	9119	0.002	500.0	0.064	0.000128	0.054830573527799104	-8.963480294044658	-2.903507329511474	-6.06
başar	9065	0.002	1e-10	0.064	0.000128	1.1031439602868175e-14	-8.963480294044658	-32.138027053129406	23.175
say	8848	0.002	8.0	0.064	0.000128	0.0009041591320072332	-8.963480294044658	-7.00850518208228	-1.955
dayan	8803	0.002	599.0	0.064	0.000128	0.06804498466431898	-8.963480294044658	-2.6875862533454566	-6.276
bas	8800	0.002	2716.0	0.064	0.000128	0.30863636363636365	-8.963480294044658	-1.175591511787711	-7.788
koy	8531	0.002	96.0	0.064	0.000128	0.01125307701324581	-8.963480294044658	-4.487113675440859	-4.476
bak	8503	0.002	11.0	0.064	0.000128	0.00129366106080207	-8.963480294044658	-6.6502790485874215	-2.313
anlaş	8472	0.002	1e-10	0.064	0.000128	1.1803588290840416e-14	-8.963480294044658	-32.0703728172217	23.107
etkile	8318	0.002	2.0	0.064	0.000128	0.00024044241404183698	-8.963480294044658	-8.33302993974291	-0.63
ilerle	8289	0.002	274.0	0.064	0.000128	0.03305585716009169	-8.963480294044658	-3.409556507203456	-5.554
an	8205	0.002	1e-10	0.064	0.000128	1.218769043266301e-14	-8.963480294044658	-32.03834993346465	23.075
yetiş	8139	0.002	4464.0	0.064	0.000128	0.548470328050129	-8.963480294044658	-0.6006220972658947	-8.363
duy	8131	0.002	1e-10	0.064	0.000128	1.2298610257040956e-14	-8.963480294044658	-32.0292901261483	23.066
uğra	8003	0.002	1667.0	0.064	0.000128	0.20829688866674997	-8.963480294044658	-1.568790867616252	-7.395
imzala	7983	0.002	69.0	0.064	0.000128	0.00864336715520481	-8.963480294044658	-4.7509630550485396	-4.213
uza	7705	0.002	2051.0	0.064	0.000128	0.2661907852044127	-8.963480294044658	-1.3235419896818357	-7.64
incele	7693	0.002	12.0	0.064	0.000128	0.0015598596126348628	-8.963480294044658	-6.463159453670935	-2.5
kaydet	7646	0.002	42.0	0.064	0.000128	0.005493068270991368	-8.963480294044658	-5.20426829597299	-3.759
dönüş	7500	0.002	3072.0	0.064	0.000128	0.4096	-8.963480294044658	-0.892574205256839	-8.071
inan	7451	0.002	231.0	0.064	0.000128	0.03100254999328949	-8.963480294044658	-3.473685820031934	-5.49
bekle	7429	0.002	366.0	0.064	0.000128	0.04926638847758783	-8.963480294044658	-3.01051320575044	-5.953
ata	7392	0.002	3.0	0.064	0.000128	0.00040584415584415587	-8.963480294044658	-7.80954132465341	-1.154
destekle	7341	0.002	1e-10	0.064	0.000128	1.3622122326658493e-14	-8.963480294044658	-31.927081282051237	22.964
kaldır	7309	0.002	42.0	0.064	0.000128	0.005746340128608565	-8.963480294044658	-5.1591921261970235	-3.804
çal	7303	0.002	152.0	0.064	0.000128	0.02081336437080652	-8.963480294044658	-3.872159980773833	-5.091
öğren	7170	0.002	1e-10	0.064	0.000128	1.394700139470014e-14	-8.963480294044658	-31.903511863534124	22.94
ara	7138	0.001	85.0	0.064	6.4e-05	0.011908097506304286	-9.656627474604603	-4.430536647559789	-5.226
kaç	7050	0.001	1e-10	0.064	6.4e-05	1.4184397163120568e-14	-9.656627474604603	-31.88663382574677	22.23
üstlen	7013	0.001	1.0	0.064	6.4e-05	0.00014259232853272493	-9.656627474604603	-8.85552084853691	-0.801
yakala	6934	0.001	60.0	0.064	6.4e-05	0.008653014133256417	-9.656627474604603	-4.749847564022868	-4.907
büyü	6808	0.001	858.0	0.064	6.4e-05	0.12602820211515864	-9.656627474604603	-2.071249570765248	-7.585
azal	6632	0.001	2565.0	0.064	6.4e-05	0.3867611580217129	-9.656627474604603	-0.949947939210261	-8.707
kurtul	6588	0.001	1e-10	0.064	6.4e-05	1.5179113539769277e-14	-9.656627474604603	-31.818856021237988	22.162
kapa	6538	0.001	4202.0	0.064	6.4e-05	0.6427041908840624	-9.656627474604603	-0.4420707058792102	-9.215
ekle	6476	0.001	26.0	0.064	6.4e-05	0.004014823965410748	-9.656627474604603	-5.517761776776044	-4.139
tartış	6327	0.001	1.0	0.064	6.4e-05	0.000158052789631737	-9.656627474604603	-8.752581469146884	-0.904
sev	6297	0.001	133.0	0.064	6.4e-05	0.021121168810544703	-9.656627474604603	-3.857479480266989	-5.799
in	6282	0.001	3340.0	0.064	6.4e-05	0.5316778096147724	-9.656627474604603	-0.6317175941278457	-9.025
yay	6234	0.001	2.0	0.064	6.4e-05	0.0003208213025344883	-9.656627474604603	-8.044626279767337	-1.612
bit	6143	0.001	20.0	0.064	6.4e-05	0.003255738238645613	-9.656627474604603	-5.727336227609936	-3.929
seslen	6143	0.001	5754.0	0.064	6.4e-05	0.9366758912583428	-9.656627474604603	-0.0654179570524342	-9.591
canlan	6083	0.001	5551.0	0.064	6.4e-05	0.9125431530494822	-9.656627474604603	-0.09151990363054402	-9.565
kes	6014	0.001	291.0	0.064	6.4e-05	0.04838709677419355	-9.656627474604603	-3.028522096376982	-6.628
vur	5980	0.001	33.0	0.064	6.4e-05	0.005518394648829431	-9.656627474604603	-5.1996682854781975	-4.457
görün	5969	0.001	1e-10	0.064	6.4e-05	1.6753224995811696e-14	-9.656627474604603	-31.720185618109106	22.064
er	5856	0.001	714.0	0.064	6.4e-05	0.12192622950819672	-9.656627474604603	-2.1043390933015633	-7.552
karşılaş	5775	0.001	943.0	0.064	6.4e-05	0.1632900432900433	-9.656627474604603	-1.8122272527565368	-7.844
ele	5731	0.001	2.0	0.064	6.4e-05	0.00034897923573547375	-9.656627474604603	-7.960498133991792	-1.696
sal	5229	0.001	3996.0	0.064	6.4e-05	0.7641996557659209	-9.656627474604603	-0.2689261944196864	-9.388
kurtar	5212	0.001	1.0	0.064	6.4e-05	0.0001918649270913277	-9.656627474604603	-8.558718938244736	-1.098
davran	5163	0.001	1.0	0.064	6.4e-05	0.0001936858415649816	-9.656627474604603	-8.54927308487965	-1.107
karşıla	5146	0.001	1.0	0.064	6.4e-05	0.000194325689856199	-9.656627474604603	-8.545974992841689	-1.111
tasarla	5128	0.001	6.0	0.064	6.4e-05	0.001170046801872075	-9.656627474604603	-6.750711529372451	-2.906
çatış	5101	0.001	3.0	0.064	6.4e-05	0.000588119976475201	-9.656627474604603	-7.438579589254817	-2.218
kuşat	5082	0.001	1e-10	0.064	6.4e-05	1.967729240456513e-14	-9.656627474604603	-31.559311093820565	21.903
kır	5081	0.001	19.0	0.064	6.4e-05	0.0037394213737453256	-9.656627474604603	-5.588824392427291	-4.068
kon(I)	5075	0.001	22.0	0.064	6.4e-05	0.004334975369458128	-9.656627474604603	-5.441039350551672	-4.216
keşfet	5040	0.001	4.0	0.064	6.4e-05	0.0007936507936507937	-9.656627474604603	-7.138866999945524	-2.518
sergile	5031	0.001	1e-10	0.064	6.4e-05	1.9876764062810574e-14	-9.656627474604603	-31.549224980431774	21.893
otur	5017	0.001	565.0	0.064	6.4e-05	0.11261710185369743	-9.656627474604603	-2.183761693337812	-7.473
rastla	4925	0.001	2.0	0.064	6.4e-05	0.0004060913705583756	-9.656627474604603	-7.808932373046244	-1.848
planla	4837	0.001	1e-10	0.064	6.4e-05	2.0673971469919374e-14	-9.656627474604603	-31.50990090276344	21.853
yık	4829	0.001	204.0	0.064	6.4e-05	0.04224477117415614	-9.656627474604603	-3.1642746920293257	-6.492
tanış	4804	0.001	341.0	0.064	6.4e-05	0.07098251457119067	-9.656627474604603	-2.6453217059163574	-7.011
